zipcode,lat,lng,city,state_id,state_name,zcta,parent_zcta,population_zip,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
8330,39.4761,-74.74148,Mays Landing,NJ,New Jersey,TRUE,,27809,90.5,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8332,39.37702,-75.02426,Millville,NJ,New Jersey,TRUE,,36119,133.9,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8340,39.43609,-74.87302,Milmay,NJ,New Jersey,TRUE,,1251,28.7,34001,Atlantic,"{'34001':67.62,'34011':32.38}",Atlantic|Cumberland,34001|34011,FALSE,FALSE,America/New_York
8341,39.52548,-74.95258,Minotola,NJ,New Jersey,TRUE,,2305,353.4,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8343,39.64133,-75.17051,Monroeville,NJ,New Jersey,TRUE,,5288,58.3,34015,Gloucester,"{'34015':65.35,'34033':34.65}",Gloucester|Salem,34015|34033,FALSE,FALSE,America/New_York
8344,39.56751,-74.98473,Newfield,NJ,New Jersey,TRUE,,4818,91.6,34033,Salem,"{'34001':2.86,'34011':21.75,'34015':67.2,'34033':8.19}",Salem|Gloucester|Cumberland|Atlantic,34033|34015|34011|34001,FALSE,FALSE,America/New_York
8345,39.2811,-75.16507,Newport,NJ,New Jersey,TRUE,,566,15.4,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8346,39.56303,-74.85607,Newtonville,NJ,New Jersey,TRUE,,695,86,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8348,39.30747,-74.97523,Port Elizabeth,NJ,New Jersey,TRUE,,188,73.2,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8349,39.27412,-75.0714,Port Norris,NJ,New Jersey,TRUE,,1658,22.3,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8350,39.49174,-74.87832,Richland,NJ,New Jersey,TRUE,,629,79.7,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8352,39.47573,-75.12798,Rosenhayn,NJ,New Jersey,TRUE,,615,588.1,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8353,39.45954,-75.29695,Shiloh,NJ,New Jersey,TRUE,,374,165.6,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8360,39.49427,-75.00641,Vineland,NJ,New Jersey,TRUE,,42197,390.6,34011,Cumberland,"{'34001':4.21,'34011':93.1,'34015':2.68}",Cumberland|Atlantic|Gloucester,34011|34001|34015,FALSE,FALSE,America/New_York
8361,39.44891,-74.95956,Vineland,NJ,New Jersey,TRUE,,18730,220.9,34011,Cumberland,{'34011':100},Cumberland,34011,FALSE,FALSE,America/New_York
8401,39.37961,-74.45278,Atlantic City,NJ,New Jersey,TRUE,,38372,1433.8,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8402,39.3307,-74.50705,Margate City,NJ,New Jersey,TRUE,,6076,1731.3,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8403,39.31914,-74.53541,Longport,NJ,New Jersey,TRUE,,967,182.6,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8406,39.34567,-74.48602,Ventnor City,NJ,New Jersey,TRUE,,10232,2067.8,34001,Atlantic,{'34001':100},Atlantic,34001,FALSE,FALSE,America/New_York
8501,40.15559,-74.55441,Allentown,NJ,New Jersey,TRUE,,6220,93.9,34025,Monmouth,"{'34005':5.18,'34021':5.1,'34025':89.71}",Monmouth|Burlington|Mercer,34025|34005|34021,FALSE,FALSE,America/New_York
8502,40.44827,-74.65564,Belle Mead,NJ,New Jersey,TRUE,,11203,342.5,34035,Somerset,{'34035':100},Somerset,34035,FALSE,FALSE,America/New_York
8505,40.10463,-74.73938,Bordentown,NJ,New Jersey,TRUE,,18078,324.3,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8510,40.19049,-74.4214,Millstone Township,NJ,New Jersey,TRUE,,5753,105.4,34025,Monmouth,{'34025':100},Monmouth,34025,FALSE,FALSE,America/New_York
8511,40.043,-74.55391,Cookstown,NJ,New Jersey,TRUE,,867,121.2,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8512,40.32022,-74.52661,Cranbury,NJ,New Jersey,TRUE,,11080,183.8,34021,Mercer,"{'34021':51.26,'34023':48.74}",Mercer|Middlesex,34021|34023,FALSE,FALSE,America/New_York
8514,40.13302,-74.4964,Cream Ridge,NJ,New Jersey,TRUE,,5046,65.9,34025,Monmouth,"{'34025':57.78,'34029':42.22}",Monmouth|Ocean,34025|34029,FALSE,FALSE,America/New_York
8515,40.11625,-74.64587,Chesterfield,NJ,New Jersey,TRUE,,6396,85.1,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8518,40.11522,-74.80263,Florence,NJ,New Jersey,TRUE,,5414,1014.4,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8520,40.25527,-74.53163,Hightstown,NJ,New Jersey,TRUE,,27093,613.3,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
